45,25,41,69
24,51,14,20
13,14,45,21
18,27,16,30
47,75,9,10
31,7,70,4
8,52,71,63
76,20,39,18
53,55,80,19
61,51,2,60
18,50,65,81
38,51,62,33
56,42,10,67
42,5,78,11
46,70,77,26
25,8,71,47
8,55,23,1
37,46,53,50
79,39,44,49
41,59,14,78
4,41,30,51
82,65,1,35
10,15,56,29
46,14,19,73
68,36,39,63
17,33,74,77
30,33,78,74
61,48,76,69
72,16,59,27
29,27,15,19
60,82,15,36
39,11,61,47
25,57,52,55
23,21,65,1
70,81,33,44
71,3,81,19
5,45,72,64
25,43,6,66
12,74,81,57
42,43,58,9
52,78,12,26
76,62,3,42
36,68,7,24
23,11,5,8
79,2,54,1
20,52,81,43
21,5,47,63
67,19,13,3
82,72,32,54
73,57,29,66
44,52,11,3
37,61,8,76
45,57,4,76
54,30,7,37
56,39,79,32
16,40,12,5
6,77,2,44
17,59,17,3
63,38,77,58
6,37,75,29
52,43,50,27
49,46,66,17
66,43,68,38
71,58,31,38
4,49,67,48
71,44,33,74
9,52,60,27
12,49,14,37
72,34,3,4
24,1,21,80
75,13,53,73
21,11,7,37
46,58,76,40
22,57,34,62
33,17,16,7
81,56,80,18
9,32,77,68
72,26,67,30
64,60,58,41
27,49,6,48
19,14,82,24
75,39,22,40
6,29,72,68
38,32,64,15
34,79,62,7
48,55,80,31
2,3,35,64
22,51,50,76
39,69,18,26
10,27,15,21
79,60,61,67
80,46,54,73
4,81,56,21
35,7,80,1
45,20,40,74
13,34,35,25
20,60,17,55
60,24,73,40
22,63,42,59
6,68,44,68
54,71,9,5
67,58,75,30
54,23,69,22
35,43,8,80
26,45,13,26
38,31,47,23
1,54,12,82
32,5,14,73
74,28,22,59
64,8,10,78
34,16,64,10
45,51,48,36
77,62,55,69
73,82,48,65
18,67,37,53
40,49,61,4
24,20,42,28
70,77,12,66
23,34,31,64
57,34,17,72
49,46,63,25
66,24,50,22
33,31,79,35
11,55,43,53
78,44,26,41
65,59,28,40
29,61,2,63
12,18,13,50
57,58,62,31
75,70,11,47
69,16,41,48
79,42,29,59
62,10,36,25
41,28,32,20
70,28,16,65
19,35,28,78
15,9,75,6
36,66,50,47
70,69,36,51
2,38,15,53
23,30,2,13
53,9,82,32
56,28,56,65
71,74,39,20
288
