114,141,59,101
27,60,92,35
28,110,147,143
169,63,48,188
182,133,69,117
68,189,61,41
76,136,145,34
155,126,112,147
187,132,175,29
179,158,9,118
143,168,103,98
67,112,96,71
156,79,58,41
115,182,77,54
165,161,58,91
119,153,70,186
134,2,14,170
78,140,137,30
57,150,147,143
25,15,18,7
135,146,168,38
121,88,101,40
4,128,42,125
33,87,97,159
3,75,122,13
196,83,59,105
132,66,69,195
24,190,170,163
169,62,52,24
194,86,170,29
53,36,89,179
17,138,151,88
90,57,134,127
39,119,154,126
184,64,106,116
17,100,20,122
12,166,168,31
190,113,159,140
152,173,171,156
192,27,117,104
103,47,79,44
128,47,162,153
113,187,134,72
74,80,186,14
131,99,76,10
116,180,42,5
26,47,20,129
193,100,104,109
163,96,90,157
54,182,125,66
107,93,102,118
22,6,162,176
127,54,84,180
189,129,110,67
1,73,133,118
26,6,23,159
4,148,86,69
11,78,55,27
160,172,148,120
53,195,104,111
187,44,172,196
81,166,3,49
149,165,117,172
11,32,178,46
21,91,82,101
57,144,68,109
11,52,38,82
25,174,10,98
185,1,146,123
160,49,53,45
64,72,130,120
90,70,41,46
17,124,181,164
78,158,43,154
72,141,52,185
105,114,48,103
75,33,167,66
30,61,39,82
63,22,184,43
45,18,97,84
3,151,92,160
139,152,192,19
67,154,194,97
192,164,108,68
183,107,83,8
86,32,115,155
13,133,145,5
40,85,55,171
186,96,123,176
180,169,20,144
34,188,114,95
146,119,145,156
21,89,65,28
109,30,19,48
34,163,15,161
55,2,161,174
26,94,115,56
5,95,62,131
23,195,135,108
188,106,7,92
36,94,110,111
37,88,173,44
37,136,46,141
100,15,152,70
139,45,196,148
166,124,18,8
167,193,12,10
58,135,60,77
95,151,102,116
129,137,74,75
124,140,76,16
1,175,24,178
61,144,94,149
64,108,138,181
142,40,121,37
106,42,93,81
157,177,62,122
99,33,77,87
28,93,4,171
130,120,125,84
35,31,60,191
43,14,139,51
50,142,16,127
185,131,80,184
137,19,89,177
138,7,50,51
162,74,50,176
79,178,190,183
13,164,87,65
12,36,71,80
23,9,99,157
73,107,167,81
173,16,179,31
29,49,183,174
191,56,150,175
112,2,158,85
22,130,121,150
38,85,51,59
189,6,32,132
193,142,149,65
126,63,73,39
83,9,102,123
181,165,98,194
191,25,56,21
8,111,155,136
35,153,113,177
71,91,128,105
171,115,122,194
121,16,95,78
96,58,196,63
130,144,148,92
182,170,151,140
188,32,86,145
139,64,182,61
59,77,44,115
66,76,71,176
145,81,15,176
103,127,39,163
92,116,146,98
48,55,185,183
142,9,92,172
75,12,123,168
90,46,128,184
153,89,172,136
165,71,137,74
166,30,55,50
49,181,138,92
125,33,16,163
149,169,98,52
139,89,194,77
7,128,14,133
122,178,157,159
140,150,41,113
117,195,145,189
37,115,68,76
69,21,50,152
127,119,158,20
73,146,99,156
194,144,131,137
79,13,95,155
378
