15,114,63,48,29,40
104,107,111,92,138,96
59,2,50,113,74,61
135,125,46,52,34,33
35,22,104,92,55,24
133,51,139,73,53,136
18,138,50,6,143,65
142,65,31,70,108,61
54,126,109,104,4,94
133,59,70,98,5,76
89,83,40,106,82,66
123,82,69,136,42,78
57,109,142,14,56,78
8,117,87,109,112,25
78,43,94,97,49,42
134,74,103,144,56,63
72,75,44,79,115,68
106,107,44,98,72,17
121,23,141,73,57,92
133,48,33,67,86,11
35,123,139,134,74,72
101,7,43,65,33,114
112,58,105,49,53,20
130,85,35,88,95,27
144,104,88,78,91,79
28,118,107,62,120,12
83,20,97,81,16,40
70,124,14,71,46,93
87,117,108,71,56,9
101,4,57,32,82,1
51,141,116,112,109,12
105,86,120,27,129,83
84,140,54,81,116,49
15,7,95,55,105,52
100,63,41,129,1,8
44,82,52,42,38,34
43,66,3,52,18,89
103,35,68,96,6,133
10,49,133,55,21,100
110,23,36,79,57,81
5,64,11,14,2,96
138,37,102,72,19,78
56,41,107,31,64,130
35,102,139,58,47,132
18,39,33,48,22,25
2,51,32,65,133,80
108,27,60,123,106,66
142,68,12,45,138,54
53,16,31,93,59,118
139,137,39,104,49,16
72,40,114,47,36,54
131,81,58,11,100,3
134,121,125,27,141,31
22,48,99,57,27,90
94,34,40,3,37,123
20,3,53,96,75,129
33,93,5,45,78,137
30,23,29,18,60,108
77,105,6,73,98,76
117,144,140,35,77,45
25,24,113,3,26,21
31,133,11,102,92,118
122,136,104,58,54,26
83,1,46,105,32,123
88,61,111,54,43,63
33,55,15,98,114,94
142,75,140,79,102,18
132,118,122,10,134,132
96,99,117,98,48,94
33,82,68,119,94,129
83,61,55,121,22,29
3,15,58,44,107,105
61,86,100,139,23,24
109,117,71,80,106,41
128,33,18,36,79,115
136,98,119,114,31,103
78,77,101,52,9,29
15,121,115,91,18,116
68,41,94,46,54,98
113,86,17,40,103,20
36,74,26,12,138,25
143,73,81,65,16,83
115,13,113,87,68,69
125,24,74,113,142,50
62,34,88,81,29,133
121,118,105,111,129,102
67,47,125,109,103,81
15,4,119,144,88,80
111,37,43,72,33,127
17,103,46,18,143,120
123,76,128,131,128,35
6,101,110,47,42,43
76,30,85,97,74,88
114,73,26,59,106,17
60,84,57,45,69,89
128,118,102,11,126,59
33,48,25,98,124,20
30,95,134,80,34,41
39,96,10,48,67,24
107,102,124,76,37,127
29,109,13,137,10,81
128,143,110,37,40,98
126,38,31,113,136,6
31,32,90,21,89,36
101,136,117,11,105,77
89,123,69,90,135,112
53,92,58,88,132,79
3,100,80,39,44,62
16,17,129,5,95,45
119,85,19,117,2,120
38,69,91,111,61,73
34,63,112,91,80,86
21,95,127,35,76,133
108,25,43,122,51,36
76,125,16,141,60,138
96,68,41,140,64,19
24,88,94,81,41,32
115,51,60,91,67,143
109,2,68,88,48,13
30,19,23,61,121,75
50,62,13,119,15,87
28,72,45,101,107,8
46,112,35,16,135,74
62,66,111,85,17,93
31,103,8,123,132,70
107,111,119,101,9,23
106,15,52,75,43,73
104,53,78,142,67,124
132,25,88,118,80,94
89,134,100,76,91,71
12,19,31,11,59,13
128,27,69,114,16,19
137,30,95,69,141,133
93,12,128,66,72,99
117,58,87,116,131,68
67,128,40,42,94,106
139,126,47,39,31,130
34,14,79,21,84,96
17,64,54,144,81,47
140,1,127,92,49,112
22,44,137,60,81,120
90,42,99,66,82,17
48,7,38,1,100,65
132,131,62,77,10,20
125,40,122,64,12,90
67,90,126,121,143,90
24,130,39,79,39,107
112,28,96,45,49,12
87,103,136,82,9,130
118,139,84,15,127,27
67,17,56,12,57,4
71,42,25,116,61,11
75,40,63,21,120,100
26,39,14,63,94,62
2,67,133,76,83,141
52,128,91,119,71,84
132,130,69,66,63,64
112,129,77,2,9,42
69,114,10,37,32,20
98,126,67,97,108,51
68,59,82,29,10,122
21,66,73,106,77,47
28,66,4,124,127,84
77,39,141,8,66,6
3,82,126,16,95,86
142,144,81,68,135,87
136,77,134,55,138,126
122,10,50,115,69,141
35,130,30,59,111,20
93,63,42,135,110,120
8,84,5,7,86,28
40,66,5,78,39,136
26,79,15,121,53,24
119,126,4,6,24,41
7,66,62,97,6,37
70,82,36,75,22,134
144,46,70,9,101,129
32,30,91,120,7,50
70,141,54,140,105,93
65,13,36,140,105,15
95,133,55,123,103,10
51,46,45,40,97,64
100,54,116,65,99,27
108,69,41,15,21,22
119,74,24,137,71,42
60,143,76,25,84,129
37,124,39,130,141,10
3,70,22,52,38,13
134,53,55,63,91,90
139,118,26,17,107,21
82,28,6,46,131,8
81,89,104,121,142,100
45,9,43,3,95,114
17,81,71,121,23,21
101,120,51,120,105,106
123,49,126,16,62,136
43,103,42,141,89,38
118,119,5,12,29,104
99,43,10,62,1,47
13,103,66,120,127,119
117,56,57,137,102,122
14,113,44,9,23,30
53,19,62,47,123,30
65,25,115,101,61,29
5,96,139,22,109,80
71,142,45,118,87,83
72,63,88,57,37,26
24,80,2,141,76,16
48,116,127,58,71,36
98,4,71,96,51,110
32,135,91,135,115,131
67,9,31,56,74,44
138,1,85,65,77,51
144,35,112,55,97,23
130,64,75,58,26,111
93,5,89,5,36,84
47,127,124,61,58,137
117,74,102,68,13,103
87,106,28,140,130,96
11,20,121,92,41,50
9,85,102,16,70,80
113,44,10,109,53,116
86,23,7,84,85,111
137,126,22,94,72,133
100,24,104,61,77,2
11,55,94,22,79,58
62,64,61,115,92,70
82,141,72,32,116,85
33,55,129,9,39,60
134,75,85,7,117,105
131,49,97,90,32,38
6,45,135,105,2,92
100,91,25,48,79,69
50,125,82,28,12,132
86,130,86,20,35,83
50,28,122,109,14,47
27,73,95,3,6,73
13,15,142,23,17,10
104,108,28,37,102,22
1,73,139,38,118,140
33,92,114,72,74,106
104,97,95,86,51,90
53,7,18,143,30,84
100,4,133,3,73,89
78,110,115,10,21,110
136,116,45,26,64,87
8,131,58,72,138,124
76,89,50,57,67,11
138,46,56,59,12,120
132,4,64,90,46,56
64,14,13,104,36,112
22,74,142,130,45,27
99,121,101,139,131,100
56,91,107,36,18,115
127,70,108,114,10,136
103,117,79,44,63,33
111,119,91,135,42,124
30,143,139,85,15,78
14,139,38,108,12,1
21,11,80,140,50,116
108,8,99,72,69,19
28,25,86,35,42,78
43,57,36,46,119,127
143,75,85,21,27,112
28,134,56,111,38,130
29,30,3,20,95,109
97,14,60,2,101,86
114,96,140,101,4,59
134,61,111,17,142,123
29,57,14,6,8,19
105,106,47,19,58,5
123,124,51,127,129,94
113,122,17,52,111,109
121,97,89,48,97,7
20,134,119,143,48,52
7,53,23,47,90,78
36,137,19,13,35,16
114,60,108,45,125,85
113,81,80,144,126,38
73,115,68,4,48,5
127,93,64,14,40,75
34,128,8,36,22,64
83,126,62,129,23,74
19,42,140,137,132,118
84,137,50,18,80,18
128,6,77,43,93,25
95,55,89,30,55,15
60,4,71,144,71,51
11,117,34,86,120,92
141,85,128,4,61,131
71,77,126,27,83,27
113,56,135,93,82,138
98,60,6,132,48,75
110,143,106,70,138,142
134,113,137,98,99,40
93,126,88,110,42,70
32,29,73,110,92,8
25,1,4,125,93,23
2,92,27,66,19,1
78,121,19,67,60,24
102,135,68,11,122,115
89,79,50,140,116,55
62,37,1,52,104,75
72,112,34,95,31,59
38,92,139,26,144,106
122,65,9,25,74,22
139,99,128,135,12,70
49,135,90,43,138,20
56,8,37,58,46,44
124,31,54,50,5,32
63,13,49,79,136,49
1,129,108,129,114,144
69,116,41,132,110,54
130,38,26,75,62,55
113,85,63,13,123,137
116,65,57,1,87,3
37,61,135,80,29,17
134,54,97,141,136,118
2,44,112,132,73,58
143,125,19,7,102,109
88,65,30,38,101,18
143,120,35,34,71,38
89,34,20,39,99,131
84,3,117,44,90,70
33,138,37,142,120,59
46,23,110,87,122,143
34,140,45,29,47,98
28,136,21,69,60,8
76,14,78,49,41,2
115,64,24,59,7,65
110,87,128,106,43,34
28,88,103,24,53,87
135,50,30,77,5,54
2,32,125,83,82,107
125,26,90,51,18,16
37,88,112,144,49,27
4,110,99,32,11,41
51,26,127,129,131,16
79,53,98,91,102,13
124,60,39,56,46,65
101,118,41,83,97,133
28,131,7,87,66,121
74,142,56,108,67,99
107,76,47,122,132,86
20,93,107,99,131,94
49,130,44,138,75,111
14,93,76,137,116,39
77,63,110,125,91,18
124,140,6,41,109,117
102,52,83,95,92,84
124,12,100,104,5,83
80,125,59,96,123,119
32,44,26,52,114,97
52,144,113,33,127,1
57,34,68,96,84,9
54,115,59,57,131,99
7,122,21,40,31,53
85,52,105,9,144,125
29,113,9,8,67,14
108,103,124,122,107,128
1094
